"stat";"reaktor";"stav";"kapacita";"start";"dostaveno";"zavreno";"lat";"long";"platz"
"Japonsko";"HAMAOKA-1";"uzavøená";540;1971;1974;2009;"34.62361";"138.1425";"OMAEZAKI-SHI"
"Japonsko";"HAMAOKA-2";"uzavøená";840;1974;1978;2009;"34.62361";"138.1425";"OMAEZAKI-SHI"
"Japonsko";"HAMAOKA-3";"funkèní";1100;1983;1987;;"34.62361";"138.1425";"OMAEZAKI-SHI"
"Japonsko";"HAMAOKA-4";"funkèní";1137;1989;1993;;"34.62361";"138.1425";"OMAEZAKI-SHI"
"Japonsko";"HAMAOKA-5";"funkèní";1380;2000;2004;;"34.62361";"138.1425";"OMAEZAKI-SHI"
"Japonsko";"HIGASHI DORI-1 (TOHOKU)";"funkèní";1100;2000;2005;;"41.18806";"141.39028";"Higashidori-mura"
"Japonsko";"IKATA-1";"uzavøená";566;1973;1977;2016;"33.491";"132.309";"IKATA-CHO"
"Japonsko";"IKATA-2";"funkèní";566;1978;1981;;"33.491";"132.309";"IKATA-CHO"
"Japonsko";"IKATA-3";"funkèní";890;1990;1994;;"33.491";"132.309";"IKATA-CHO"
"Japonsko";"JPDR";"uzavøená";13;1960;1963;1976;"36.47297";"140.56611";"TOKAI-MURA"
"Japonsko";"KAMINOSEKI-1";"plánovaná";1373;2012;;;;;"Chugoku"
"Japonsko";"KAMINOSEKI-2";"plánovaná";1373;2018;;;;;"Chugoku"
"Japonsko";"KASHIWAZAKI KARIWA-1";"funkèní";1100;1980;1985;;"37.434";"138.598";"KASHIWAZAKI-SHI"
"Japonsko";"KASHIWAZAKI KARIWA-2";"funkèní";1100;1985;1990;;"37.434";"138.598";"KASHIWAZAKI-SHI"
"Japonsko";"KASHIWAZAKI KARIWA-3";"funkèní";1100;1989;1992;;"37.434";"138.598";"KASHIWAZAKI-SHI"
"Japonsko";"KASHIWAZAKI KARIWA-4";"funkèní";1100;1990;1993;;"37.434";"138.598";"KASHIWAZAKI-SHI"
"Japonsko";"KASHIWAZAKI KARIWA-5";"funkèní";1100;1985;1989;;"37.434";"138.598";"KASHIWAZAKI-SHI"
"Japonsko";"KASHIWAZAKI KARIWA-6";"funkèní";1356;1992;1996;;"37.434";"138.598";"KASHIWAZAKI-SHI"
"Japonsko";"KASHIWAZAKI KARIWA-7";"funkèní";1356;1993;1996;;"37.434";"138.598";"KASHIWAZAKI-SHI"
"Japonsko";"MIHAMA-1";"uzavøená";340;1967;1970;2015;"35.7013";"135.962";"MIHAMA"
"Japonsko";"MIHAMA-2";"uzavøená";500;1968;1972;2015;"35.7013";"135.962";"MIHAMA"
"Japonsko";"MIHAMA-3";"funkèní";826;1972;1976;;"35.7013";"135.962";"MIHAMA"
"Japonsko";"MONJU";"uzavøená";280;1986;1995;2017;"35.73906";"135.98808";"TSURUGA"
"Japonsko";"OHI-1";"funkèní";1175;1972;1977;2013;"35.5437";"135.652";"OHI"
"Japonsko";"OHI-2";"funkèní";1175;1972;1978;;"35.5437";"135.652";"OHI"
"Japonsko";"OHI-3";"funkèní";1180;1987;1991;;"35.5437";"135.652";"OHI"
"Japonsko";"OHI-4";"funkèní";1180;1988;1992;;"35.5437";"135.652";"OHI"
"Japonsko";"OHMA-1";"výstavba";1383;2010;;;"41.50972";"140.91028";"OHMA"
"Japonsko";"ONAGAWA-1";"funkèní";524;1980;1983;;"38.4005";"141.504";"ONAGAWA, ISHINOMAKI"
"Japonsko";"ONAGAWA-2";"funkèní";825;1991;1994;;"38.4005";"141.504";"ONAGAWA, ISHINOMAKI"
"Japonsko";"ONAGAWA-3";"funkèní";825;1998;2001;;"38.4005";"141.504";"ONAGAWA, ISHINOMAKI"
"Japonsko";"SENDAI-1";"funkèní";890;1979;1983;;"31.8339";"130.193";"SATSUMASENDAI"
"Japonsko";"SENDAI-2";"funkèní";890;1981;1985;;"31.8339";"130.193";"SATSUMASENDAI"
"Japonsko";"SENDAI-3";"plánovaná";1590;2014;;;"31.8339";"130.193";"SATSUMASENDAI"
"Japonsko";"SHIKA-1";"funkèní";540;1989;1993;;"37.0611";"136.728";"SHIKA-MACHI"
"Japonsko";"SHIKA-2";"funkèní";1206;2001;2005;;"37.0611";"136.728";"SHIKA-MACHI"
"Japonsko";"SHIMANE-1";"uzavøená";460;1970;1973;2015;"35.5368";"132.999";"MATSUE"
"Japonsko";"SHIMANE-2";"funkèní";820;1985;1988;;"35.5368";"132.999";"MATSUE"
"Japonsko";"SHIMANE-3";"výstavba";1373;2007;;;"35.5368";"132.999";"MATSUE"
"Japonsko";"TAKAHAMA-1";"funkèní";826;1970;1974;;"35.5195";"135.503";"TAKAHAMA"
"Japonsko";"TAKAHAMA-2";"funkèní";826;1971;1975;;"35.5195";"135.503";"TAKAHAMA"
"Japonsko";"TAKAHAMA-3";"funkèní";870;1980;1984;;"35.5195";"135.503";"TAKAHAMA"
"Japonsko";"TAKAHAMA-4";"funkèní";870;1981;1984;;"35.5195";"135.503";"TAKAHAMA"
"Japonsko";"TOKAI-1";"uzavøená";166;1961;1965;1998;"36.46639";"140.60667";"TOKAI MURA"
"Japonsko";"TOKAI-2";"funkèní";1100;1973;1978;;"36.46639";"140.60667";"TOKAI MURA"
"Japonsko";"TOMARI-1";"funkèní";579;1985;1988;;"43.0375";"140.515";"TOMARI VILLAGE"
"Japonsko";"TOMARI-2";"funkèní";579;1985;1990;;"43.0375";"140.515";"TOMARI VILLAGE"
"Japonsko";"TOMARI-3";"funkèní";912;2004;2009;;"43.0375";"140.515";"TOMARI VILLAGE"
"Japonsko";"TSURUGA-1";"uzavøená";357;1966;1969;2015;"35.67247";"136.07913";"TSURUGA CITY"
"Japonsko";"TSURUGA-2";"funkèní";1160;1982;1986;;"35.67247";"136.07913";"TSURUGA CITY"
"Kazachstán";"AKTAU";"uzavøená";90;1964;1973;1999;"43.65";"51.15";"MANGYSTAU"
"Jižní Korea";"HANBIT-1";"funkèní";1032;1981;1986;;"35.3212";"129.295";"Yeonggwang-gun"
"Jižní Korea";"HANBIT-2";"funkèní";1028;1981;1986;;"35.3212";"129.295";"Yeonggwang-gun"
"Jižní Korea";"HANBIT-3";"funkèní";1039;1989;1994;;"35.3212";"129.295";"Yeonggwang-gun"
"Jižní Korea";"HANBIT-4";"funkèní";1022;1990;1995;;"35.3212";"129.295";"Yeonggwang-gun"
"Jižní Korea";"HANBIT-5";"funkèní";1052;1997;2001;;"35.3212";"129.295";"Yeonggwang-gun"
"Jižní Korea";"HANBIT-6";"funkèní";1050;1997;2002;;"35.3212";"129.295";"Yeonggwang-gun"
"Jižní Korea";"HANUL-1";"funkèní";1008;1983;1988;;"35.32714";"129.30174";"Ulchin-gun"
"Jižní Korea";"HANUL-2";"funkèní";1012;1983;1989;;"35.32714";"129.30174";"Ulchin-gun"
"Jižní Korea";"HANUL-3";"funkèní";1049;1993;1998;;"35.32714";"129.30174";"Ulchin-gun"
"Jižní Korea";"HANUL-4";"funkèní";1053;1993;1998;;"35.32714";"129.30174";"Ulchin-gun"
"Jižní Korea";"HANUL-5";"funkèní";1051;1999;2003;;"35.32714";"129.30174";"Ulchin-gun"
"Jižní Korea";"HANUL-6";"funkèní";1051;2000;2005;;"35.32714";"129.30174";"Ulchin-gun"
"Jižní Korea";"KORI-1";"uzavøená";607;1972;1977;2017;"35.72222";"129.47889";"Gijang-gun"
"Jižní Korea";"KORI-2";"funkèní";681;1977;1983;;"35.72222";"129.47889";"Gijang-gun"
"Jižní Korea";"KORI-3";"funkèní";1044;1979;1985;;"35.72222";"129.47889";"Gijang-gun"
"Jižní Korea";"KORI-4";"funkèní";1044;1980;1985;;"35.72222";"129.47889";"Gijang-gun"
"Jižní Korea";"SHIN-HANUL-1";"výstavba";1400;2012;;;"35.7101";"129.476";"Ulchin-gun"
"Jižní Korea";"SHIN-HANUL-2";"výstavba";1400;2013;;;"35.7101";"129.476";"Ulchin-gun"
"Jižní Korea";"SHIN-KORI-1";"funkèní";1044;2006;2010;;"35.415";"126.42389";"Busan & Ulsan"
"Jižní Korea";"SHIN-KORI-2";"funkèní";1046;2007;2012;;"35.415";"126.42389";"Busan & Ulsan"
"Jižní Korea";"SHIN-KORI-3";"funkèní";1455;2008;2016;;"35.415";"126.42389";"Ulsan"
"Jižní Korea";"SHIN-KORI-4";"výstavba";1400;2009;;;"35.415";"126.42389";"Ulsan"
"Jižní Korea";"SHIN-KORI-5";"výstavba";1400;2017;;;"35.415";"126.42389";"Ulsan"
"Jižní Korea";"SHIN-KORI-6";"výstavba";1400;2018;;;"35.415";"126.42389";"Ulsan"
"Jižní Korea";"SHIN-WOLSONG-1";"funkèní";1045;2007;2012;;"37.09278";"129.38361";"Gyeongju-si"
"Jižní Korea";"SHIN-WOLSONG-2";"funkèní";1050;2008;2015;;"37.09278";"129.38361";"Gyeongju-si"
"Jižní Korea";"WOLSONG-1";"funkèní";682;1977;1982;;"35.3199";"129.29005";"Gyeongju-si"
"Jižní Korea";"WOLSONG-2";"funkèní";655;1992;1997;;"35.3199";"129.29005";"Gyeongju-si"
"Jižní Korea";"WOLSONG-3";"funkèní";670;1994;1998;;"35.3199";"129.29005";"Gyeongju-si"
"Jižní Korea";"WOLSONG-4";"funkèní";656;1994;1999;;"35.3199";"129.29005";"Gyeongju-si"
"Jordánsko";"QASR-AMRA-1";"plánovaná";1060;2018;;;;;"Qasr-Amra"
"Litva";"IGNALINA-1";"uzavøená";1300;1977;1983;2004;"55.60444";"26.56";"VISAGINAS"
"Litva";"IGNALINA-2";"uzavøená";1300;1978;1987;2009;"55.60444";"26.56";"VISAGINAS"
"Mexiko";"LAGUNA VERDE-1";"funkèní";805;1976;1989;;"19.7189";"-96.4049";"ALTO LUCERO"
"Mexiko";"LAGUNA VERDE-2";"funkèní";810;1977;1994;;"19.7189";"-96.4049";"ALTO LUCERO"
"Nizozemsko";"BORSSELE";"funkèní";515;1969;1973;;"51.4311";"3.71867";"BORSSELE"
"Nizozemsko";"DODEWAARD";"uzavøená";60;1965;1968;1997;"51.89972";"5.68611";"DODEWAARD"
"Pákistán";"CHASNUPP-1";"funkèní";325;1993;2000;;"32.39028";"71.4625";"KUNDIAN"
"Pákistán";"CHASNUPP-2";"funkèní";325;2005;2011;;"32.39028";"71.4625";"KUNDIAN"
"Pákistán";"CHASNUPP-3";"funkèní";340;2011;2016;;"32.39028";"71.4625";"KUNDIAN"
"Pákistán";"CHASNUPP-4";"funkèní";340;2011;2017;;"32.39028";"71.4625";"KUNDIAN"
"Pákistán";"KANUPP-1";"funkèní";100;1966;1971;;"24.84717";"66.78825";"Karachi"
"Pákistán";"KANUPP-2";"výstavba";1100;2015;;;"24.84717";"66.78825";"Karachi"
"Pákistán";"KANUPP-3";"výstavba";1100;2016;;;"24.84717";"66.78825";"Karachi"
"Polsko";"CHOCZEWO-1";"plánovaná";3000;2023;;;;;"Choczewo"
"Rumunsko";"CERNAVODA-1";"funkèní";706;1982;1996;;"44.3216";"28.0605";"CERNAVODA"
"Rumunsko";"CERNAVODA-2";"funkèní";705;1983;2007;;"44.3216";"28.0605";"CERNAVODA"
"Rusko";"AKADEMIK LOMONOSOV-1";"výstavba";38;2007;;;"52.92028";"158.42472";"PEVEK"
"Rusko";"AKADEMIK LOMONOSOV-2";"výstavba";38;2007;;;"52.92028";"158.42472";"PEVEK"
"Rusko";"APS-1 OBNINSK";"uzavøená";6;1951;1954;2002;"55.08417";"36.56972";"OBNINSK"
"Rusko";"BALAKOVO-1";"funkèní";1000;1980;1985;;"52.0915";"47.9519";"BALAKOVO"
"Rusko";"BALAKOVO-2";"funkèní";1000;1981;1987;;"52.0915";"47.9519";"BALAKOVO"
"Rusko";"BALAKOVO-3";"funkèní";1000;1982;1988;;"52.0915";"47.9519";"BALAKOVO"
"Rusko";"BALAKOVO-4";"funkèní";1000;1984;1993;;"52.0915";"47.9519";"BALAKOVO"
"Rusko";"BALTIC-1";"výstavba";1194;2012;;;"54.93889";"22.16111";"Neman"
"Rusko";"BELOYARSK-1";"uzavøená";108;1958;1964;1983;"56.84167";"61.3225";"ZARECHNYY"
"Rusko";"BELOYARSK-2";"uzavøená";160;1962;1967;1990;"56.84167";"61.3225";"ZARECHNYY"
"Rusko";"BELOYARSK-3";"funkèní";600;1969;1980;;"56.84167";"61.3225";"ZARECHNYY"
"Rusko";"BELOYARSK-4";"funkèní";885;2006;2015;;"56.84167";"61.3225";"ZARECHNYY"
"Rusko";"BELOYARSK-5";"plánovaná";1220;2025;;;"56.84167";"61.3225";
"Rusko";"BILIBINO-1";"funkèní";12;1970;1974;;"68.0586";"166.492";"Bilibino"
"Rusko";"BILIBINO-2";"funkèní";12;1970;1974;;"68.0586";"166.492";"Bilibino"
"Rusko";"BILIBINO-3";"funkèní";12;1970;1975;;"68.0586";"166.492";"Bilibino"
"Rusko";"BILIBINO-4";"funkèní";12;1970;1976;;"68.0586";"166.492";"Bilibino"
"Rusko";"KALININ-1";"funkèní";1000;1977;1984;;"57.9028";"35.0571";"UDOMLYA"
"Rusko";"KALININ-2";"funkèní";1000;1982;1986;;"57.9028";"35.0571";"UDOMLYA"
"Rusko";"KALININ-3";"funkèní";1000;1985;2004;;"57.9028";"35.0571";"UDOMLYA"
"Rusko";"KALININ-4";"funkèní";1000;1986;2011;;"57.9028";"35.0571";"UDOMLYA"
"Rusko";"KOLA-1";"funkèní";440;1970;1973;;"67.4667";"32.4913";"POLYARNYYE ZORI"
"Rusko";"KOLA-2";"funkèní";440;1970;1974;;"67.4667";"32.4913";"POLYARNYYE ZORI"
"Rusko";"KOLA-3";"funkèní";440;1977;1981;;"67.4667";"32.4913";"POLYARNYYE ZORI"
"Rusko";"KOLA-4";"funkèní";440;1976;1984;;"67.4667";"32.4913";"POLYARNYYE ZORI"
"Rusko";"KURSK-1";"funkèní";1000;1972;1976;;"51.674";"35.6067";"KURCHATOV"
"Rusko";"KURSK-2";"funkèní";1000;1973;1979;;"51.674";"35.6067";"KURCHATOV"
"Rusko";"KURSK-3";"funkèní";1000;1978;1983;;"51.674";"35.6067";"KURCHATOV"
"Rusko";"KURSK-4";"funkèní";1000;1981;1985;;"51.674";"35.6067";"KURCHATOV"
"Rusko";"KURSK 2-1";"plánovaná";1300;2018;;;"51.674";"35.6067";"KURCHATOV"
"Rusko";"KURSK 2-2";"plánovaná";1255;2019;;;"51.674";"35.6067";"KURCHATOV"
"Rusko";"LENINGRAD 2-1";"funkèní";1199;2008;2018;;"59.84722";"29.04361";"SOSNOVYY BOR"
"Rusko";"LENINGRAD 2-2";"výstavba";1199;2010;;;"59.84722";"29.04361";"SOSNOVYY BOR"
"Rusko";"LENINGRAD 2-3";"plánovaná";1170;2018;;;"59.84722";"29.04361";"SOSNOVYY BOR"
"Rusko";"LENINGRAD 2-4";"plánovaná";1170;2019;;;"59.84722";"29.04361";"SOSNOVYY BOR"
"Rusko";"LENINGRAD-1";"funkèní";1000;1970;1973;;"59.84722";"29.04361";"SOSNOVYY BOR"
"Rusko";"LENINGRAD-2";"funkèní";1000;1970;1975;;"59.84722";"29.04361";"SOSNOVYY BOR"
"Rusko";"LENINGRAD-3";"funkèní";1000;1973;1979;;"59.84722";"29.04361";"SOSNOVYY BOR"
"Rusko";"LENINGRAD-4";"funkèní";1000;1975;1981;;"59.84722";"29.04361";"SOSNOVYY BOR"
"Rusko";"NOVOVORONEZH 2-1";"funkèní";1180;2008;2016;;"51.275";"39.2";"NOVOVORONEZH"
"Rusko";"NOVOVORONEZH 2-2";"výstavba";1195;2009;;;"51.275";"39.2";"NOVOVORONEZH"
"Rusko";"NOVOVORONEZH-1";"uzavøená";210;1957;1964;1988;"51.275";"39.2";"NOVOVORONEZH"
"Rusko";"NOVOVORONEZH-2";"uzavøená";365;1964;1969;1990;"51.275";"39.2";"NOVOVORONEZH"
"Rusko";"NOVOVORONEZH-3";"uzavøená";417;1967;1971;2016;"51.275";"39.2";"NOVOVORONEZH"
"Rusko";"NOVOVORONEZH-4";"funkèní";417;1967;1972;;"51.275";"39.2";"NOVOVORONEZH"
"Rusko";"NOVOVORONEZH-5";"funkèní";1000;1974;1980;;"51.275";"39.2";"NOVOVORONEZH"
"Rusko";"ROSTOV-1";"funkèní";1000;1981;2001;;"47.59934";"42.37188";"VOLGODONSK"
"Rusko";"ROSTOV-2";"funkèní";1000;1983;2010;;"47.59934";"42.37188";"VOLGODONSK"
"Rusko";"ROSTOV-3";"funkèní";1000;2009;2014;;"47.59934";"42.37188";"VOLGODONSK"
"Rusko";"ROSTOV-4";"funkèní";1070;2010;2018;;"47.59934";"42.37188";"VOLGODONSK"
"Rusko";"SMOLENSK-1";"funkèní";1000;1975;1982;;"54.1688";"33.2448";"DESNOGORSK"
"Rusko";"SMOLENSK-2";"funkèní";1000;1976;1985;;"54.1688";"33.2448";"DESNOGORSK"
"Rusko";"SMOLENSK-3";"funkèní";1000;1984;1990;;"54.1688";"33.2448";"DESNOGORSK"
"Rusko";"SMOLENSK 2-1";"plánovaná";1250;2022;;;"54.1688";"33.2448";"DESNOGORSK"
"Rusko";"SMOLENSK 2-2";"plánovaná";1250;2024;;;"54.1688";"33.2448";"DESNOGORSK"
"Rusko";"DIMITROVGRAD";"plánovaná";100;2017;;;;;"Dimitrovgrad"
"Rusko";"SEVERSK";"plánovaná";300;2018;;;;;"Seversk"
"Rusko";"NIZHNY-NOVGOROD-1";"plánovaná";1255;2023;;;;;"Nizhny Novgorod"
"Rusko";"NIZHNY-NOVGOROD-2";"plánovaná";1255;2025;;;;;"Nizhny Novgorod"
"Slovensko";"BOHUNICE A1";"uzavøená";143;1958;1972;1977;"48.49444";"17.68194";"Jaslovské Bohunice"
"Slovensko";"BOHUNICE-1";"uzavøená";440;1972;1978;2006;"48.49444";"17.68194";"Jaslovske Bohunice"
"Slovensko";"BOHUNICE-2";"uzavøená";440;1972;1980;2008;"48.49444";"17.68194";"Jaslovske Bohunice"
"Slovensko";"BOHUNICE-3";"funkèní";505;1976;1984;;"48.49444";"17.68194";"Jaslovske Bohunice"
"Slovensko";"BOHUNICE-4";"funkèní";505;1976;1985;;"48.49444";"17.68194";"Jaslovske Bohunice"
"Slovensko";"BOHUNICE";"plánovaná";1200;2021;;;"48.49444";"17.68194";"Jaslovske Bohunice"
"Slovensko";"MOCHOVCE-1";"funkèní";470;1983;1998;;"48.2609";"18.4547";"LEVICE"
"Slovensko";"MOCHOVCE-2";"funkèní";470;1983;1999;;"48.2609";"18.4547";"LEVICE"
"Slovensko";"MOCHOVCE-3";"výstavba";471;2009;;;"48.2609";"18.4547";"LEVICE"
"Slovensko";"MOCHOVCE-4";"výstavba";471;2009;;;"48.2609";"18.4547";"LEVICE"
"Slovinsko";"KRSKO";"funkèní";727;1975;1981;;"45.9389";"15.516";"KRSKO"
"Jihoafrická republika";"KOEBERG-1";"funkèní";970;1976;1984;;"-33.6773";"18.4334";"DUYNEFONTEIN"
"Jihoafrická republika";"KOEBERG-2";"funkèní";970;1976;1985;;"-33.6773";"18.4334";"DUYNEFONTEIN"
"Španìlsko";"ALMARAZ-1";"funkèní";1049;1973;1981;;"39.8074";"-5.69769";"ALMARAZ"
"Španìlsko";"ALMARAZ-2";"funkèní";1044;1973;1983;;"39.8074";"-5.69769";"ALMARAZ"
"Španìlsko";"ASCO-1";"funkèní";1033;1974;1983;;"41.2016";"0.57136";"ASCO"
"Španìlsko";"ASCO-2";"funkèní";1035;1975;1985;;"41.2016";"0.57136";"ASCO"
"Španìlsko";"COFRENTES";"funkèní";1102;1975;1984;;"39.2162";"-1.05132";"COFRENTES"
"Španìlsko";"JOSE CABRERA-1";"uzavøená";150;1964;1968;2006;"40.34917";"-2.88444";"ALMONACID DE ZORITA"
"Španìlsko";"SANTA MARIA DE GARONA";"uzavøená";466;1966;1971;2012;"42.7753";"-3.20535";"SANTA MARIA DE GARONA"
"Španìlsko";"TRILLO-1";"funkèní";1066;1979;1988;;"40.6993";"-2.62211";"TRILLO"
"Španìlsko";"VANDELLOS-1";"uzavøená";500;1968;1972;1990;"40.95139";"0.86667";"VANDELLOS"
"Španìlsko";"VANDELLOS-2";"funkèní";1087;1980;1987;;"40.95139";"0.86667";"VANDELLOS"
"Švédsko";"AGESTA";"uzavøená";12;1957;1964;1974;"59.20602";"18.08287";"AGESTA"
"Švédsko";"BARSEBACK-1";"uzavøená";615;1971;1975;1999;"55.74444";"12.92083";"BARSEBACK"
"Švédsko";"BARSEBACK-2";"uzavøená";615;1973;1977;2005;"55.74444";"12.92083";"BARSEBACK"
"Švédsko";"FORSMARK-1";"funkèní";1022;1973;1980;;"60.4047";"18.1681";"OESTHAMMAR"
"Švédsko";"FORSMARK-2";"funkèní";1158;1975;1981;;"60.4047";"18.1681";"OESTHAMMAR"
"Švédsko";"FORSMARK-3";"funkèní";1203;1979;1985;;"60.4047";"18.1681";"OESTHAMMAR"
"Švédsko";"OSKARSHAMN-1";"uzavøená";492;1966;1971;2017;"57.4146";"16.6658";"OSKARSHAMN"
"Švédsko";"OSKARSHAMN-2";"uzavøená";661;1969;1974;2016;"57.4146";"16.6658";"OSKARSHAMN"
"Švédsko";"OSKARSHAMN-3";"funkèní";1450;1980;1985;;"57.4146";"16.6658";"OSKARSHAMN"
"Švédsko";"RINGHALS-1";"funkèní";910;1969;1974;;"57.259";"12.1112";"RINGHALS"
"Švédsko";"RINGHALS-2";"funkèní";963;1970;1974;;"57.259";"12.1112";"RINGHALS"
"Švédsko";"RINGHALS-3";"funkèní";1117;1972;1980;;"57.259";"12.1112";"RINGHALS"
"Švédsko";"RINGHALS-4";"funkèní";1171;1973;1982;;"57.259";"12.1112";"RINGHALS"
"Švýcarsko";"BEZNAU-1";"funkèní";380;1965;1969;;"47.552";"8.22946";"BEZNAU"
"Švýcarsko";"BEZNAU-2";"funkèní";380;1968;1971;;"47.552";"8.22946";"BEZNAU"
"Švýcarsko";"GOESGEN";"funkèní";1060;1973;1979;;"47.3663";"7.96898";"DAENIKEN"
"Švýcarsko";"LEIBSTADT";"funkèní";1275;1974;1984;;"47.6012";"8.18341";"LEIBSTADT"
"Švýcarsko";"LUCENS";"uzavøená";7;1962;1968;1969;"46.69278";"6.8275";"1522 Lucens"
"Švýcarsko";"MUEHLEBERG";"funkèní";390;1967;1971;;"46.969";"7.26622";"MUEHLEBERG"
"Turecko";"AKKUYU-1";"výstavba";1180;2018;;;;;"Akkuyu"
"Turecko";"AKKUYU-2";"plánovaná";1200;2019;;;;;"Akkuyu"
"Turecko";"AKKUYU-3";"plánovaná";1200;2020;;;;;"Akkuyu"
"Turecko";"AKKUYU-4";"plánovaná";1200;2021;;;;;"Akkuyu"
"Ukrajina";"CHERNOBYL-1";"uzavøená";800;1970;1977;1996;"51.38985";"30.09405";"PRIPYAT"
"Ukrajina";"CHERNOBYL-2";"uzavøená";1000;1973;1978;1991;"51.38985";"30.09405";"PRIPYAT"
"Ukrajina";"CHERNOBYL-3";"uzavøená";1000;1976;1981;2000;"51.38985";"30.09405";"PRIPYAT"
"Ukrajina";"CHERNOBYL-4";"uzavøená";1000;1985;1983;1986;"51.38985";"30.09405";"PRIPYAT"
"Ukrajina";"KHMELNITSKI-1";"funkèní";1000;1981;1987;;"50.3007";"26.6493";"NETESHIN"
"Ukrajina";"KHMELNITSKI-2";"funkèní";1000;1985;2004;;"50.3007";"26.6493";"NETESHIN"
"Ukrajina";"KHMELNITSKI-3";"výstavba";1089;1986;;;"50.3007";"26.6493";"NETESHIN"
"Ukrajina";"KHMELNITSKI-4";"výstavba";1089;1987;;;"50.3007";"26.6493";"NETESHIN"
"Ukrajina";"ROVNO-1";"funkèní";420;1973;1980;;"51.3261";"25.8996";"KUZNETSOVSK"
"Ukrajina";"ROVNO-2";"funkèní";415;1973;1981;;"51.3261";"25.8996";"KUZNETSOVSK"
"Ukrajina";"ROVNO-3";"funkèní";1000;1980;1986;;"51.3261";"25.8996";"KUZNETSOVSK"
"Ukrajina";"ROVNO-4";"funkèní";1000;1986;2004;;"51.3261";"25.8996";"KUZNETSOVSK"
"Ukrajina";"SOUTH UKRAINE-1";"funkèní";1000;1976;1982;;"47.8113";"31.2199";"NIKOLAYEV OBLAST"
"Ukrajina";"SOUTH UKRAINE-2";"funkèní";1000;1981;1985;;"47.8113";"31.2199";"NIKOLAYEV OBLAST"
"Ukrajina";"SOUTH UKRAINE-3";"funkèní";1000;1984;1989;;"47.8113";"31.2199";"NIKOLAYEV OBLAST"
"Ukrajina";"ZAPOROZHYE-1";"funkèní";1000;1980;1984;;"47.51222";"34.58583";"ENERGODAR"
"Ukrajina";"ZAPOROZHYE-2";"funkèní";1000;1981;1985;;"47.51222";"34.58583";"ENERGODAR"
"Ukrajina";"ZAPOROZHYE-3";"funkèní";1000;1982;1986;;"47.51222";"34.58583";"ENERGODAR"
"Ukrajina";"ZAPOROZHYE-4";"funkèní";1000;1983;1987;;"47.51222";"34.58583";"ENERGODAR"
"Ukrajina";"ZAPOROZHYE-5";"funkèní";1000;1985;1989;;"47.51222";"34.58583";"ENERGODAR"
"Ukrajina";"ZAPOROZHYE-6";"funkèní";1000;1986;1995;;"47.51222";"34.58583";"ENERGODAR"
"Spojené arabské emiráty";"BARAKAH-1";"výstavba";1400;2012;;;"23.9677";"52.2315";"Ruwais"
"Spojené arabské emiráty";"BARAKAH-2";"výstavba";1400;2013;;;"23.9677";"52.2315";"Ruwais"
"Spojené arabské emiráty";"BARAKAH-3";"výstavba";1400;2014;;;"23.9677";"52.2315";"Ruwais"
"Spojené arabské emiráty";"BARAKAH-4";"výstavba";1400;2015;;;"23.9677";"52.2315";"Ruwais"
"Spojené království";"BERKELEY-1";"uzavøená";166;1957;1962;1989;"51.6925";"-2.49361";"RIVER SEVERN"
"Spojené království";"BERKELEY-2";"uzavøená";166;1957;1962;1988;"51.6925";"-2.49361";"RIVER SEVERN"
"Spojené království";"BRADWELL-1";"uzavøená";146;1957;1962;2002;"51.74139";"0.89694";"BLACKWATER ESTUARY"
"Spojené království";"BRADWELL-2";"uzavøená";146;1957;1962;2002;"51.74139";"0.89694";"BLACKWATER ESTUARY"
"Spojené království";"CALDER HALL-1";"uzavøená";60;1953;1956;2003;"54.4205";"-3.4975";"SEASCALE"
"Spojené království";"CALDER HALL-2";"uzavøená";60;1953;1957;2003;"54.4205";"-3.4975";"SEASCALE"
"Spojené království";"CALDER HALL-3";"uzavøená";60;1955;1958;2003;"54.4205";"-3.4975";"SEASCALE"
"Spojené království";"CALDER HALL-4";"uzavøená";60;1955;1959;2003;"54.4205";"-3.4975";"SEASCALE"
"Spojené království";"CHAPELCROSS-1";"uzavøená";60;1955;1959;2004;"55.01566";"-3.22605";"ANNAN"
"Spojené království";"CHAPELCROSS-2";"uzavøená";60;1955;1959;2004;"55.01566";"-3.22605";"ANNAN"
"Spojené království";"CHAPELCROSS-3";"uzavøená";60;1955;1959;2004;"55.01566";"-3.22605";"ANNAN"
"Spojené království";"CHAPELCROSS-4";"uzavøená";60;1955;1960;2004;"55.01566";"-3.22605";"ANNAN"
"Spojené království";"DOUNREAY DFR";"uzavøená";15;1955;1962;1977;"58.57814";"-3.75233";"DOUNREAY CAITHNESS"
"Spojené království";"DOUNREAY PFR";"uzavøená";250;1966;1975;1994;"58.57814";"-3.75233";"DOUNREAY"
"Spojené království";"DUNGENESS A-1";"uzavøená";230;1960;1965;2006;"50.91389";"0.96389";"ROMNEY MARSH"
"Spojené království";"DUNGENESS A-2";"uzavøená";230;1960;1965;2006;"50.91389";"0.96389";"ROMNEY MARSH"
"Spojené království";"DUNGENESS B-1";"funkèní";615;1965;1983;;"50.91389";"0.96389";"Romney Marsh"
"Spojené království";"DUNGENESS B-2";"funkèní";615;1965;1985;;"50.91389";"0.96389";"Romney Marsh"
